YearQuarter,Industry,Total Gross Earnings
1994Q3,Construction,24900100
1994Q4,Construction,26703700
1995Q1,Construction,29803300
1995Q2,Construction,27972300
1995Q3,Construction,28698600
1995Q4,Construction,30495300
1996Q1,Construction,34308200
1996Q2,Construction,31000200
1996Q3,Construction,31166200
1996Q4,Construction,32760600
1997Q1,Construction,35777300
1997Q2,Construction,31993800
1997Q3,Construction,31904300
1997Q4,Construction,33499500
1998Q1,Construction,39283600
1998Q2,Construction,36361500
1998Q3,Construction,35093500
1998Q4,Construction,37409700
1999Q1,Construction,39114900
1999Q2,Construction,39646600
1999Q3,Construction,39192600
1999Q4,Construction,41745100
2000Q1,Construction,43867300
2000Q2,Construction,43954800
2000Q3,Construction,44124000
2000Q4,Construction,44808800
2001Q1,Construction,43358000
2001Q2,Construction,44883400
2001Q3,Construction,44424800
2001Q4,Construction,45463700
2002Q1,Construction,46838300
2002Q2,Construction,48930700
2002Q3,Construction,49691400
2002Q4,Construction,51723800
2003Q1,Construction,51319600
2003Q2,Construction,52452400
2003Q3,Construction,50771700
2003Q4,Construction,55129100
2004Q1,Construction,55712500
2004Q2,Construction,62395500
2004Q3,Construction,60820400
2004Q4,Construction,66579300
2005Q1,Construction,69381900
2005Q2,Construction,67842300
2005Q3,Construction,69928000
2005Q4,Construction,72930400
2006Q1,Construction,76137300
2006Q2,Construction,76481100
2006Q3,Construction,77000600
2006Q4,Construction,82784700
2007Q1,Construction,86226000
2007Q2,Construction,90031600
2007Q3,Construction,89698600
2007Q4,Construction,95499400
2008Q1,Construction,98387200
2008Q2,Construction,97760000
2008Q3,Construction,94333800
2008Q4,Construction,94522500
2009Q1,Construction,93218800
2009Q2,Construction,91129500
2009Q3,Construction,90146800
2009Q4,Construction,82674700
2010Q1,Construction,83961900
2010Q2,Construction,80614000
2010Q3,Construction,81647700
2010Q4,Construction,83757300
2011Q1,Construction,89337400
2011Q2,Construction,86951000
2011Q3,Construction,87055200
2011Q4,Construction,90288600
2012Q1,Construction,90806500
2012Q2,Construction,95355800
2012Q3,Construction,96544200
2012Q4,Construction,99035200
2013Q1,Construction,104749600
2013Q2,Construction,103872500
2013Q3,Construction,104034400
2013Q4,Construction,107953700
2014Q1,Construction,115123900
2014Q2,Construction,116436000
2014Q3,Construction,116494900
2014Q4,Construction,120347600
2015Q1,Construction,128209700
2015Q2,Construction,129585700
2015Q3,Construction,134709000
