YearQuarter,Industry,Total Gross Earnings
2018Q2,"Arts, Recreation and Other Services",73101800
2018Q3,"Arts, Recreation and Other Services",74229000
2018Q4,"Arts, Recreation and Other Services",74625600
1989Q1,All Industries,497885400
1989Q2,All Industries,491185000
1989Q3,All Industries,485420600
1989Q4,All Industries,489803300
1990Q1,All Industries,507868400
1990Q2,All Industries,501705100
1990Q3,All Industries,504236400
1990Q4,All Industries,512761100
1991Q1,All Industries,530237600
1991Q2,All Industries,515865200
1991Q3,All Industries,498869500
1991Q4,All Industries,504396600
1992Q1,All Industries,523422000
1992Q2,All Industries,517826700
1992Q3,All Industries,502423800
1992Q4,All Industries,517765300
1993Q1,All Industries,529308400
1993Q2,All Industries,526442700
1993Q3,All Industries,520878300
1993Q4,All Industries,535393000
1994Q1,All Industries,555002200
1994Q2,All Industries,568271700
1994Q3,All Industries,562151400
1994Q4,All Industries,582578300
1995Q1,All Industries,594886200
1995Q2,All Industries,597392300
1995Q3,All Industries,603536500
1995Q4,All Industries,620947500
1996Q1,All Industries,631776200
1996Q2,All Industries,638692100
1996Q3,All Industries,646920900
1996Q4,All Industries,668794900
1997Q1,All Industries,656056600
1997Q2,All Industries,676711200
1997Q3,All Industries,680299400
1997Q4,All Industries,691890700
1998Q1,All Industries,681708800
1998Q2,All Industries,695149200
1998Q3,All Industries,693133700
1998Q4,All Industries,704161100
1999Q1,All Industries,712655700
1999Q2,All Industries,710254300
1999Q3,All Industries,708688400
1999Q4,All Industries,730539100
2000Q1,All Industries,735232600
2000Q2,All Industries,739850300
2000Q3,All Industries,749227500
2000Q4,All Industries,772775700
2001Q1,All Industries,774794800
2001Q2,All Industries,794567000
2001Q3,All Industries,795200400
2001Q4,All Industries,823292100
2002Q1,All Industries,840523600
2002Q2,All Industries,848807600
2002Q3,All Industries,858365600
2002Q4,All Industries,885186400
2003Q1,All Industries,895488300
2003Q2,All Industries,901310500
2003Q3,All Industries,902014600
2003Q4,All Industries,934859800
2004Q1,All Industries,948894300
2004Q2,All Industries,963269900
2004Q3,All Industries,960387900
2004Q4,All Industries,994417900
2005Q1,All Industries,1011032900
2005Q2,All Industries,1017682100
2005Q3,All Industries,1024966800
2005Q4,All Industries,1051844900
2006Q1,All Industries,1077154200
2006Q2,All Industries,1089351100
2006Q3,All Industries,1101352000
2006Q4,All Industries,1138738000
2007Q1,All Industries,1142860800
2007Q2,All Industries,1158245300
2007Q3,All Industries,1161910800
2007Q4,All Industries,1210771400
2008Q1,All Industries,1221554000
2008Q2,All Industries,1236620100
2008Q3,All Industries,1235507400
2008Q4,All Industries,1252534400
2009Q1,All Industries,1254227400
2009Q2,All Industries,1242158800
2009Q3,All Industries,1234131500
2009Q4,All Industries,1254203500
2010Q1,All Industries,1257498100
2010Q2,All Industries,1278079100
2010Q3,All Industries,1279582300
2010Q4,All Industries,1303105800
2011Q1,All Industries,1316045600
2011Q2,All Industries,1338438200
2011Q3,All Industries,1338322100
2011Q4,All Industries,1365184000
2012Q1,All Industries,1376062600
2012Q2,All Industries,1407980600
2012Q3,All Industries,1400488300
2012Q4,All Industries,1427089100
2013Q1,All Industries,1435876800
2013Q2,All Industries,1462615600
2013Q3,All Industries,1475127600
2013Q4,All Industries,1501289200
2014Q1,All Industries,1527566400
2014Q2,All Industries,1554173800
2014Q3,All Industries,1549430000
2014Q4,All Industries,1587130200
2015Q1,All Industries,1618564400
2015Q2,All Industries,1635958300
2015Q3,All Industries,1635142400
2015Q4,All Industries,1681627400
2016Q1,All Industries,1696300700
2016Q2,All Industries,1720030300
2016Q3,All Industries,1722112900
2016Q4,All Industries,1762871000
2017Q1,All Industries,1777763100
2017Q2,All Industries,1807263200
2017Q3,All Industries,1813378900
2017Q4,All Industries,1860833200
2018Q1,All Industries,1877670500
2018Q2,All Industries,1907445200
2018Q3,All Industries,1908790900
2018Q4,All Industries,1955658900
